id,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
13388,39XjBtONTw3TGoVN51X4tE,Robert Owens;Atjazz,"\"Black Label #78 \"\" Art \"\" Remix EP 2 - Remixes by Christo",Snuff Crew,Niedermeier & Whitehead,,Matthias Heilbronn & Joeski,"John Gazoo\"",Hearts And Soul - Christo'Disco Rinse'Remix,10,471050,False,0.802,0.753,2,-7.923,1,0.0324,0.00685,0.576
16173,5aGhOb4iwTbfrgxQGjGwyC,Franz Schubert;Mischa Maisky;Pavel Gililov,Classical Christmas 2022,"\"Ave Maria, \"\"Ellens Gesang III\"\"",Op.52 No.6,,0,335666,False,0.0918,0.0325,8,-26.707,1,0.0494,0.995,0.864,0.109,0.0393,68.958
16239,1WFKR1UoO2aHEYnCUWEzdI,Franz Schubert;Mischa Maisky;Pavel Gililov,Weihnachten Klassik 2022,"\"Ave Maria, \"\"Ellens Gesang III\"\"",Op.52 No.6,,0,335666,False,0.0918,0.0325,8,-26.707,1,0.0494,0.995,0.864,0.109,0.0393,68.958
16672,4uaRUpAdVcjF5ME0QoZfuG,Wolfgang Amadeus Mozart;Danielle Laval,Mozart: A Night of Classics,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,25,43586,False,0.367,0.175,0,-19.716,1,0.0428,0.974,0.853,0.232,0.816,74.077
16677,3Bh4cdwJOL0wL6nuJBbXDD,Wolfgang Amadeus Mozart;Jan Lisiecki,Mozart: A Night of Classics,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,25,50080,False,0.5,0.0503,0,-32.576,1,0.0541,0.991,0.928,0.0956,0.432,125.262
16692,6X8jY9ucVRdfd3gO5WChAR,Wolfgang Amadeus Mozart;Jan Lisiecki,Mozart - A Classical Dawn,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,14,54853,False,0.459,0.0757,7,-32.14,1,0.0488,0.995,0.881,0.16,0.395,117.11
16715,4lvfOnCUxyT3aKKamZ3WXu,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,6,41893,False,0.212,0.221,0,-20.543,1,0.0454,0.98,0.96,0.149,0.425,148.759
16842,2HyJhQXLIyysNuz89x3Nr4,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,15,58360,False,0.435,0.094,7,-25.717,1,0.0451,0.995,0.915,0.181,0.818,105.188
16846,5A8k6g1JknnqaDmwORk0OO,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,9,77613,False,0.262,0.136,0,-20.967,1,0.0347,0.98,0.898,0.163,0.188,151.539
16958,0DPcJVMHiqvl4oWuaG48lo,Wolfgang Amadeus Mozart;Jan Lisiecki,Mozart - A Classical Dawn,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,11,57133,False,0.451,0.0159,0,-35.666,1,0.0644,0.991,0.877,0.0717,0.883,114.211
16978,5qXK6Tfrw2dVzb5uM992wP,Wolfgang Amadeus Mozart;Danielle Laval,Mozart: A Night of Classics,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,15,64680,False,0.309,0.00917,0,-35.767,1,0.0444,0.992,0.941,0.0933,0.679,76.791
16979,0vaPEm3RwpcmuotshfFN4t,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - A Classical Dawn,"\"12 Variations in C Major on \"\"Ah","vous dirai-je Maman\"\"",,12,64906,False,0.385,0.0554,0,-25.817,1,0.0553,0.987,0.889,0.117,0.321,68.453
